,sentence,predicted_langugae,target_language
12921,es zeigt ihnen dass,German,German
12922,an der unterordnung der frau,German,German
12923,var tvättmaskinen ett mirakel,Swedish,Swedish
12924,de todas as partes da cidade e,Portuguese,Portuguese
12925,optical character recognition optische zeichenerkennung,Dutch,German
12926,det tar omkring en halvtimme för mättnadskänslan,Swedish,Swedish
12927,que podrien convertirse en un lloc,Catalan,Catalan
12928,e esta é uma dessas imagens,Portuguese,Portuguese
12929,è solo linizio,Italian,Italian
12930,és la tirania del sentit comú,Catalan,Catalan
12931,lass uns liebende und geliebte sein,German,German
12932,et cest intéressant de voir,French,French
12933,noi distribuiamo gli scaffali,Italian,Italian
12934,ist vollständig und intakt,German,German
12935,e uma cultura em torno,Portuguese,Portuguese
12936,kofi a retrouvé sa famille,French,French
12937,valde jim och shirley naturskyddssällskapet audobon canyon ranch acr,Swedish,Swedish
12938,des de finals de la dècada de els increments de la productivitat,Catalan,Catalan
12939,e a entrada está toda coberta de neve,Portuguese,Portuguese
12940,torneime suficientemente humilde,Portuguese,Portuguese
12941,incrivelmente eficazes e populares,Portuguese,Portuguese
12942,et tout le monde acquiesce,French,French
12943,e questo è è difficile per me,Italian,Italian
12944,un split knish philadelphie et un schmende dans le bronx,French,French
12945,og nu er der parodier,Danish,Danish
12946,mas também abrir estas regiões para o resto do mundo,Portuguese,Portuguese
12947,abbiamo caricato il bucato,Italian,Italian
12948,vamos observar o jogo corporal,Portuguese,Portuguese
12949,una traccia confini,Italian,Italian
12950,fins que el descarreguem en algú que no sho mereixia,Catalan,Catalan
12951,il problema per oggi e capire,Italian,Italian
12952,maar daardoor krijgt de intimiteit waarmee we als team samenwerken,Dutch,Dutch
12953,de naam is niet belangrijk,Dutch,Dutch
12954,rechenschaft unterworfen ist ,German,German
12955,og mick jagger latter,Danish,Danish
12956,zuschauer ja ja,German,German
12957,sim para mulheres privilegiadas como a minha filha e todas nós aqui hoje,Portuguese,Portuguese
12958,as longuíssimas orelhas,Portuguese,Portuguese
12959,aquesta és la zona per a vianants més gran de linz,Catalan,Catalan
12960,se pensarmos bem há pessoas que gostam de legos e pessoas que não gostam,Portuguese,Portuguese
12961,ikke at gøre noget er meget almindeligt,Danish,Danish
12962,jer selv som mirakler,Danish,Danish
12963,waarin veel van ons werk uit de jaren en voor kwam,Dutch,Dutch
12964,di quanto troppo spesso appaia,Italian,Italian
12965,não apenas das funções não importantes,Portuguese,Portuguese
12966,de onde vem a câmara,Portuguese,Portuguese
12967,vi vet att lögnare omedvetet distansierar sig själva,Swedish,Swedish
12968,gegen neue ideen kuriert haben,German,German
12969,niemand hob seine hand,German,German
12970,et donc un mardi matin de juin dernier nous étions là,French,French
12971,applaus,Dutch,Danish
12972,avec le pdg de ikea pour intégrer son équipe,French,French
12973,som kan køre hvorsomhelst af dem selv,Danish,Danish
12974,hoffentlich würden wir den kunden in seinem inneren verstehen,German,German
12975,perché pensava che avessi deluso la mia famiglia,Italian,Italian
12976,både i google og microsoft,Danish,Danish
12977,sodass das motorrad,German,German
12978,danke applaus,German,German
12979,para alcançar os nossos objetivos relativamente às emissões de carbono,Portuguese,Portuguese
12980,nel mezzo di quel caos io giro in carrozzina,Italian,Italian
12981,selv om folkedrab handler om drab,Danish,Danish
12982,vi stjäl idéer från andra människor,Swedish,Swedish
12983,auf der ganzen welt,German,German
12984,det finns en hel värld av skönhet och effektivitet att utforska,Swedish,Swedish
12985,uiteindelijk lijkt het me,Dutch,Dutch
12986,sie mussten einen fall vorbereiten,German,German
12987,kedeligt husarbejde,Danish,Danish
12988,troligtvis bättre än någon annan på planeten just nu,Swedish,Swedish
12989,o escritor philip shepherd diz,Portuguese,Portuguese
12990,no fos el més important,Catalan,Catalan
12991,bestaat er niets korters,Dutch,Dutch
12992,sono espressioni di verità,Italian,Italian
12993,aber das taten die meisten anderen flaggenträgerinnen auch außer sophia loren,German,German
12994,det har sociala och psykologiska mål ,Swedish,Swedish
12995,bewegers en opschudders van amerika gezet te worden,Dutch,Dutch
12996,è una violazione innocua,Italian,Italian
12997,och sprida sig till resten av länderna runt omkring,Swedish,Swedish
12998,els vaig deixar damunt duna cadira,Catalan,Catalan
12999,ik vind het interessant,Dutch,Dutch
13000,för att det är enkelt att förstå och för att du kan ladda ner det,Swedish,Swedish
13001,und entschlossenheit,German,German
13002,i això és bo,Catalan,Catalan
13003,che è anche quella di trasformare limpasto in pane,Italian,Italian
13004,det är ingen framgångssaga jag berättat för er,Swedish,Swedish
13005,a nossa expectativa de vida tem vindo a aumentar,Portuguese,Portuguese
13006,fordi det halvere antallet af infektioner ,Danish,Danish
13007,med forretningsstrategi,Danish,Danish
13008,men fra forskellig vinkler,Danish,Danish
13009,que eu queria ser uma escritora,Portuguese,Portuguese
13010,begyndte jeg at overveje,Danish,Danish
13011,hvilket vil ske omkring ,Danish,Danish
13012,ed incapace di corrispondere allicona standard della donna in forma,Italian,Italian
13013,applaus,Dutch,Danish
13014,ainda há um pouco de material à volta das bordas,Portuguese,Portuguese
13015,in den jungtieren die söhne werden also,German,German
13016,af disse sprog,Danish,Danish
13017,und sonstiges aufgemalt hat,German,German
13018,så får vi en effekt femton till tjugo år senare,Swedish,Swedish
13019,adorava tudo sobre mim,Portuguese,Portuguese
13020,má para as mulheres,Portuguese,Portuguese
13021,nous voyons des crises dendettement en spirale,French,French
13022,liksom paraplegi tetraplegi,Italian,Swedish
13023,men hvad hvis man i stedet så dem,Danish,Danish
13024,om de produkter de høstede kunne sælges hvilken pris de ville indbringe,Danish,Danish
13025,goed te beschrijven,Dutch,Dutch
13026,bist du ein junge oder ein mädchen,German,German
13027,tack,Swedish,Swedish
13028,de que é que uma célula se tenta proteger,Portuguese,Portuguese
13029,e cantò voglio dire tutto il suo corpo cantò,Italian,Italian
13030,gli indipendenti di solito,Italian,Italian
13031,acontecerá realmente através da poderosa união,Portuguese,Portuguese
13032,att göra förtexten till oss,Swedish,Swedish
13033,dies ist ein bekanntes dorf in alaska das ist eine stadt,German,German
13034,quins costs estàn associats a aquestes decisions i qui paga,Catalan,Catalan
13035,não se consegue mover não consegue falar,Portuguese,Portuguese
13036,ne sommesnous pas tous daccord je le suis certainement,French,French
13037,då killar hellre befinner sig på en bar full av främlingar,Swedish,Swedish
13038,els grecs tenien unes visions poderoses,Catalan,Catalan
13039,o verdades que falam por si,Portuguese,Portuguese
13040,che si chiama captcha art,Italian,Italian
13041,mw així doncs presentàrem aquesta bona idea,Catalan,Catalan
13042,men de kaldte den slags kreative ånd for et geni,Danish,Danish
13043,la différence entre trembler comme ça ou pas,French,French
13044,quindi questa è la cina uno statocivilizzazione,Italian,Italian
13045,en andere familieleden op tijd weggeraken,Dutch,Dutch
13046,wir selbst das ziel,German,German
13047,de educar rapazes para se tornarem homens,Portuguese,Portuguese
13048,podem aprendre de les figures polítiques més famoses,Catalan,Catalan
13049,che quando si confrontano,Italian,Italian
13050,e dalla fermentazione dei raccolti,Italian,Italian
13051,styrdes av auktoritära regimer,Swedish,Swedish
13052,han udviklede en interessant model,Danish,Danish
13053,hij werkte voor een grote bank,Dutch,Dutch
13054,per esempio la normativa citizens united è un disastro,Italian,Italian
13055,die dodelijke beslissingen nemen over mensen,Dutch,Dutch
13056,en lloc de veure colors els sento,Catalan,Catalan
13057,intento fer alguna cosa per resoldreho,Catalan,Catalan
13058,vi placerer det foran en stjerne,Danish,Danish
13059, se ci sono stelle nellinferno ,Italian,Italian
13060,in ,Dutch,Dutch
13061,sicherheit und stabilität bedroht,German,German
13062,e de trabalho extra fora do google,Portuguese,Portuguese
13063,med at få hoften udskiftet,Danish,Danish
13064,kärlek till lego,Swedish,Swedish
13065,minteressa força vull ser una persona dèxit,Catalan,Catalan
13066,antallet af internetbrugere vokser således dette er bruttonationalindkomsten pr indbygger,Danish,Danish
13067,und blieben doch schlank und hatten die gesundheitlichen vorteile des schlankseins,German,German
13068,kamerans pixlar till projektorns pixlar,Swedish,Swedish
13069,pelo facebook pelo twitter,Portuguese,Portuguese
13070,over wat zij denken dat grote kunst is,Dutch,Dutch
13071,je veux voir pourquoiparce que vous le dites,French,French
13072,mine damer og herrer et billede siger ikke mere end tusind ord,Danish,Danish
13073,poesi på busser poesi i metroen,Danish,Danish
13074,jétais assise là en pensant ,French,French
13075,informationsbüro des staatsrats gebeten,German,German
13076,spise bananer næste uge,Danish,Danish
13077,i de og århundreder,Danish,Danish
13078,sul ghiacciaio sandy,Italian,Italian
13079,så ge människor,Swedish,Swedish
13080,das ist der ballon ein großer gasballon,German,German
13081,ich liebe nathan lane,German,German
13082,ben craddock ontwikkelde,Dutch,Dutch
13083,leurs chairs se mélent,French,French
13084,ist jill denn ich möchte auf gar keinen fall,German,German
13085,und während meiner zeit dort,German,German
13086,as pessoas das comunidades,Portuguese,Portuguese
13087,podemos ajudar com a mobilidade social,Portuguese,Portuguese
13088,hollywood och kongressen räknade ut detta nummer matematiskt,Swedish,Swedish
13089,i la pasta de sucre,Catalan,Catalan
13090,eftersom jag när jag förstod att de minskat i antal från ungefär miljoner,Swedish,Swedish
13091,quins sont els missatges que donem a les dones que treballen per i amb nosaltres,Catalan,Catalan
13092,da de store problemer som vi troede teknologien ville løse,Danish,Danish
13093,e que acaba com iphones nos,Portuguese,Portuguese
13094,at hvis man virkelig tror på et samfund,Danish,Danish
13095,dallafghanistan dalla sierra leone,Italian,Italian
13096,donc si vous allez aux toilettes tard le soir,French,French
13097,applausi,Italian,Italian
13098,effettivamente lui conosceva willie brown,Italian,Italian
13099,i exploten,Swedish,Catalan
13100,en ieder die zich wil aansluiten,Dutch,Dutch
13101,der beste weg die zukunft vorherzusagen ist sie selbst zu erfinden,German,German
13102,que escorriam pela minha face,Portuguese,Portuguese
13103,der siger hør engang jeg vil ikke tale med dig nu,Danish,Danish
13104,at jeg rejste mig og sagde tak men hvad gør jeg,Danish,Danish
13105,men de uppvisar en viss populationsvariation,Catalan,Swedish
13106,gli americani lo adoreranno,Italian,Italian
13107,komplekse civilisationer gør det,Danish,Danish
13108,vår evolution har designat oss till att vara bra på syn,Swedish,Swedish
13109,abbiamo delle opportunità nellagricoltura come ho detto,Italian,Italian
13110,procure outros livros exactamente como o dele,Portuguese,Portuguese
13111,ze tekenen originele kunstwerken,Dutch,Dutch
13112,qui arribarà a ser gràcies a que algú va decidir,Catalan,Catalan
13113,och jag undrade i fall bästa sättet var,Swedish,Swedish
13114,vous pouvez voir que les contrôles pour le moteur sont en fait sur le toit du cockpit,French,French
13115,não funciona bem nas escolas de hoje,Portuguese,Portuguese
13116,che si sono offerte come volontari,Italian,Italian
13117,aquests mercats que pensàvem infallibles ,Catalan,Catalan
13118,tem morto os nossos artistas nos últimos anos,Portuguese,Portuguese
13119,e nel nome della connessione,Italian,Italian
13120,die jung und oft von eigener hand starben,German,German
13121,et pendant ces années,French,French
13122,noch innerhalb der lebenszeit,German,German
13123,io dissi no e mi fece venire in mente un paio di pensieri su mia moglie,Italian,Italian
13124,en de arena via deze buis,Dutch,Dutch
13125,amigo porque é que ninguém inventa,Portuguese,Portuguese
13126,um die qualität eines einzelnen professionellen übersetzers zu erreichen,German,German
13127,bare for meget som en dårlig zombie film,Danish,Danish
13128,traf den mann wieder,German,German
13129,han siger nå okay hvad hedder denne block,Danish,Danish
13130,så varför lyckas de,Swedish,Swedish
13131,kohlenstoffemissionen reduziert,German,German
13132,che diligentemente da quando era ragazzo,Italian,Italian
13133,cest la prévision du gouvernement,French,French
13134,trois planètes de notre système solaire ayant environ la même taille,French,French
13135,així que en canvi,Catalan,Catalan
13136,tot això passa al sector privat,Catalan,Catalan
13137,e infectámolas com adenovírus,Portuguese,Portuguese
13138,das war eine stärke beim umgang mit verschiedenen problemen,German,German
13139,che siamo inseriti in queste reti sociali,Italian,Italian
13140,offentliga platser,Swedish,Swedish
13141,maar dan wel in omgekeerde volgorde,Dutch,Dutch
13142,exactement de la même façon quun brin de spaghetti,French,French
13143,og løbe under paraplyen af fred,Danish,Danish
13144,sie kommunizieren,German,German
13145,o lançamento do saturno v,Portuguese,Portuguese
13146,laat me dat verhaal vertellen,Dutch,Dutch
13147,par le mercure,French,French
